DR3Name,RA_ICRS,DE_ICRS,SolID,Source,RandomI,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,NewMatchObs,MatchObsrm,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,SDSk1,SDSk2,SDSk3,SDSk4,SDMk1,SDMk2,SDMk3,SDMk4,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,Vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,GLON,GLAT,ELON,ELAT,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,HIP,dHIP,nHIP,f_HIP,PS1coid,PS1,dPS1,nPS1,mPS1,f_PS1,SDSS13coid,SDSS13,dSDSS13,nSDSS13,mSDSS13,f_SDSS13,SKYM2,dSKYM2,nSKYM2,mSKYM2,f_SKYM2,TYC2,dTYC2,f_TYC2,TYC2moid,nTYC2,URAT1,dURAT1,f_URAT1,URAT1oid,nURAT1,mURAT1,AllWISE,dAllWISE,f_AllWISE,AllWISEoid,nAllWISE,mAllWISE,APASS9coid,APASS9,dAPASS9,nAPASS9,mAPASS9,f_APASS9,GSC23,dGSC23,f_GSC23,GSC23coid,nGSC23,mGSC23,RAVE5,dRAVE5,f_RAVE5,RAVE5coid,nRAVE5,2MASS,d2MASS,f_2MASS,2MASScoid,n2MASS,m2MASS,RAVE6,dRAVE6,f_RAVE6,RAVE6oid,nRAVE6,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000
"Gaia DR3 6742193451710633472",288.70525218053,-37.53313366847,1636148068921376768,6742193451710633472,1082576622,0.2519,0.2414,4.0001,0.2646,15.1158,62.346,-12.282,0.267,-61.125,0.236,0.1042,0.1943,-0.5591,-0.1509,-0.4518,-0.1023,-0.5773,-0.1192,0.1359,0.1866,163,0,162,1,-0.7343,179.99231,0.0,0.0,95,0,,1.1395,0.0548,-0.38,0.033,-0.171,0.24,0.038,19,14,0.423566,19,10,0,0.017884595,6.285476,0,0,0.957,0.29178643,0.16825129,0.38653773,0.86527205,-105.002,-20.656,-38.443,37.473,0,161,585.97849,1.5267491,383.80798,18.767662,0.003949,14,86.83122063140208,10.804818,8.036343,20.491852,0.135132,15,830.393883196401,15.813855,52.51053,17.449686,0.021019,1.565,0,0,0,0,0,3.042166,1.72419,1.317976,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",0.28752529291,-20.46756325274,285.27106768704,-15.08027525105,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.999977,3094.7,3092.1,3098.4,4.9764,4.9716,4.9818,0.0563,0.0389,0.0713,241.9377,236.7971,246.208,0.6367,0.5907,0.6924,0.3827,0.3551,0.4158,0.2768,0.2572,0.3001,"MARCS  ",,,,,,,,,,,,,,,,,212091624,0.12738,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,"SCF1068153",0.344457,8,261547039,1,0,,,,,,"19144927-3731583 ",0.048779,8,146569344,1,0,,,,,,288.70532101385,-37.53286200352,4.416563,3.915498,0.1886
"Gaia DR3 2895119707707982976",97.2256530423,-29.80650001223,1636148068921376768,2895119707707982976,558582595,1.0311,1.5671,4.0001,1.3945,2.8685,25.688,21.988,1.3,-13.281,2.06,-0.0127,0.408,0.3755,-0.1029,0.0586,-0.1502,0.6212,0.147,0.0253,-0.0496,172,0,172,0,0.4887,227.50925,3.792,2.0235007,95,0,,1.0818,0.2935,0.039,-0.113,0.021,0.252,0.05,20,17,3.046641,22,6,0,0.060039815,166.54674,0,0,1.025,0.047907297,0.34604478,0.2126953,0.21485364,57.227,-86.478,-45.367,35.359,0,170,80.91063,1.0247723,78.95474,20.917353,0.014025,10,13.298345237992645,2.490602,5.33941,22.529049,0.203363,19,120.69719392935068,9.397184,12.843974,19.543653,0.084617,1.656,0,0,0,0,0,2.985395,1.611696,1.373699,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",237.97993576881,-17.60596703537,100.4444501027,-52.98412068853,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999995,,,,,,,,,,,,,,,,,,,,,,,,,,,60691830,72230972256372484,0.030476,1,0,8,,,,,,,32897289,0.325408,1,0,40,,,,,,,,,,,,"J062854.13-294823.6",0.354512,8,206833350,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22554042068,-29.80644098342,20.434968,32.017594,-0.0392
"Gaia DR3 5869932013905892736",203.18888090917,-59.84276268121,1636148068921376768,5869932013905892736,1785872444,0.99,1.1378,4.0001,1.8991,2.1064,4.236,-4.155,1.535,-0.826,1.87,0.6688,-0.319,-0.0991,0.0561,-0.3701,0.0862,0.1212,-0.2831,-0.37,0.7968,243,0,240,3,0.743,330.2804,3.544,3.0063066,95,0,,1.1752,0.2686,-0.315,-0.188,0.0,-0.258,-0.202,28,13,3.222594,29,7,2,0.05161669,25.089115,0,6,1.033,0.362837,0.6521496,0.5619768,0.40448692,-76.453,-51.415,-59.825,37.213,0,244,87.58818,0.720931,121.49315,20.831253,0.009352,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",308.10548675967,2.61330584559,228.68855732283,-45.61156364724,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S7NQ017864",1.686468,8,89089804,1,1,,,,,,,,,,,,,,,,,203.18891766664,-59.84275901044,24.682716,29.800435,0.7916
"Gaia DR3 3741739606643579008",202.56279484606,14.44304130958,1636148068921376768,3741739606643579008,489097152,0.1094,0.0924,4.0001,0.1527,26.1894,41.831,-36.097,0.136,21.139,0.103,-0.4758,-0.3051,0.0868,0.3048,0.0949,0.2826,-0.363,-0.1193,0.0011,-0.3365,341,0,328,13,75.9428,20656.533,0.958,352.86417,95,0,,1.3395,0.0217,-0.028,0.071,-0.033,0.099,-0.214,40,17,0.202585,48,16,0,0.057082955,133.53337,0,47,5.181,0.05753313,0.4133257,0.16959275,0.38654333,102.098,30.136,38.915,-25.57,0,309,32916.28113,47.405354,694.3579,14.39384,0.003168,0,,,,,,0,,,,,,,,,,,2,,,,-3.67,4.89,2,18,15,11,9.662359,,,910.356,,5500.0,4.5,0.0,0,,,,12.952642,0.097302,3,,"NOT_AVAILABLE",340.358533445,74.42103737543,195.12402112316,22.12558200601,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286491277,125332025629322028,0.252025,1,0,40,191841403,1237662530061205512,0.106427,1,0,8,,,,,,,,,,,,,,,,,"J133015.16+142635.2",1.244088,12,470170972,1,1,39642406,26972541,1.718885,1,1,72,,,,,,,,,,,,,,,,,,,,,,,202.56296051267,14.44294735935,2.172165,1.67784,-0.3623
"Gaia DR3 5864899824111200640",201.47509843975,-64.1043762566,1636148068921376768,5864899824111200640,1073853837,0.8975,1.4335,4.0001,1.443,2.7721,6.029,-5.499,0.965,-2.473,1.871,0.1188,-0.1915,-0.1133,0.2897,0.5091,0.5142,0.3991,0.3318,0.0269,0.526,131,0,130,1,-1.4151,138.28992,0.0,0.0,95,0,,1.1036,0.3132,-0.22,-0.339,-0.222,-0.078,0.057,15,10,2.806179,18,8,1,0.09887143,99.67663,1,0,0.909,0.28868717,0.3287274,0.27366954,0.23306197,-171.413,-77.63,28.212,42.081,0,153,90.31648,0.8489867,106.3815,20.797949,0.010571,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",306.68442129741,-1.4840026439,231.14753534209,-49.61956217671,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.47515439625,-64.10436526542,15.562869,29.396928,0.4898
"Gaia DR3 2933105807228099328",102.58559163837,-19.6672029925,1636148068921376768,2933105807228099328,1690027404,0.6888,0.8216,4.0001,1.571,2.5462,8.71,2.218,0.878,8.423,1.076,0.1378,-0.0663,0.6253,0.0238,-0.1831,0.2157,0.1345,-0.0087,-0.4937,-0.1932,342,0,340,2,2.0018,477.4666,2.953,2.0541437,95,0,,1.0523,0.2025,-0.116,-0.229,-0.06,-0.098,0.233,39,15,1.661305,40,10,0,0.029119026,37.852245,0,0,1.077,0.24694705,0.37012967,0.37995493,0.24409117,174.9,-84.971,4.7,35.812,0,346,99.43421,0.6784127,146.56891,20.693527,0.007904,26,37.422814532089525,4.928946,7.592458,21.4057,0.143029,40,116.32201007080913,5.0735984,22.926926,19.58374,0.047507,1.546,0,0,0,0,0,1.82196,0.712173,1.109787,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",230.4638266194,-9.06009819072,106.13357750931,-42.40416024084,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,,,,,417330418,84391025855889726,0.00408,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.58558116917,-19.66724042915,13.621291,17.128047,-0.2118
"Gaia DR3 5851450185507863296",206.4353719121,-66.88960896061,1636148068921376768,5851450185507863296,1337364931,0.4424,0.5136,4.0001,0.6308,6.3412,5.395,-4.539,0.549,-2.915,0.705,0.1554,-0.0149,-0.2122,0.0175,-0.1414,0.0274,0.2088,0.0502,0.1602,0.2169,458,0,454,4,38.8512,3130.4646,6.081,99.97945,95,0,,1.305,0.1327,0.059,0.052,0.025,-0.155,-0.042,52,28,1.013086,56,19,0,0.13632576,25.48902,0,0,2.547,0.097351715,0.22149296,0.091979,0.15824986,-86.241,-66.847,31.475,-28.24,0,482,319.29554,1.8617666,171.50137,19.426886,0.006904,50,113.45864882585316,3.5513062,31.948427,20.201448,0.034098,50,437.77161645110607,4.6637793,93.86628,18.144777,0.012169,1.726,0,1,0,1,0,2.056671,0.774563,1.282108,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",308.23526056572,-4.5786543635,236.25874390653,-50.74592788349,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389321041,0.251228,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.43542331422,-66.88959600576,8.882206,11.176552,0.2144
"Gaia DR3 878387195046567552 ",116.5826651893,28.50803763777,1636148068921376768,878387195046567552,563151103,0.2969,0.2135,4.0001,0.3202,12.4944,20.306,8.058,0.421,-18.638,0.258,0.0614,-0.2043,-0.3643,-0.0904,-0.3377,-0.1467,0.1868,0.1769,-0.0682,0.025,264,0,263,1,2.102,328.039,0.985,2.009658,31,0,1.239,,,,,,,,30,15,0.597914,32,10,0,0.022949444,20.053728,0,0,1.093,0.2981096,0.3462272,0.3046251,0.64457756,-120.315,1.342,-21.683,-30.586,0,258,418.76087,1.1284754,371.0855,19.132452,0.004019,25,62.544079103095974,6.628219,9.43603,20.848076,0.115097,27,557.1930288634157,12.208728,45.63891,17.882881,0.024088,1.48,0,2,0,1,0,2.965195,1.715624,1.249571,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",191.81346351118,23.77625211916,113.35048670001,7.19818905074,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.99997,,,,,,,,,,,,,,,,,,,,,,,,,,,1583305524,142211165826110064,0.011188,1,0,10,298182967,1237657118941119044,0.014158,1,0,8,,,,,,,,,,,"URAT1-593161319",0.034979,8,117296639,1,0,"J074619.83+283028.8",0.1535,8,549374512,1,0,,,,,,,"N8R2011253",0.170941,8,723110890,1,0,,,,,,"07461984+2830292 ",0.137135,8,376008184,1,0,,,,,,116.58262443365,28.5081204752,6.854545,4.093365,0.0364
"Gaia DR3 6019642685396567168",251.52619823735,-36.90392183804,1636148068921376768,6019642685396567168,268980403,1.3662,0.7892,4.0001,1.6269,2.4587,6.763,-5.838,2.217,3.413,1.423,0.1313,0.0717,-0.3829,-0.2039,-0.0744,-0.0787,-0.5403,-0.5368,0.1687,-0.0825,167,0,165,2,0.7132,195.18997,2.771,1.5673885,95,0,,1.1728,0.2844,0.1,-0.08,0.042,-0.154,0.053,20,15,3.185468,21,6,3,0.07529622,35.6586,5,0,1.038,0.24789102,0.5619448,0.0762141,0.041464943,-160.382,7.414,-29.102,-15.652,0,163,110.98492,1.1639482,95.35211,20.574207,0.011715,18,45.594638210407716,5.8602266,7.780354,21.191257,0.139576,19,250.89279149755978,7.8992834,31.761463,18.749174,0.034392,2.671,0,18,0,19,0,2.442083,0.61705,1.825033,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",346.26265181148,5.524660882,254.83258497881,-14.43232480645,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128384451,0.056455,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.52623068505,-36.90393700751,36.013437,23.206839,-0.0693
"Gaia DR3 5973434815873270400",257.26495866529,-37.64566402811,1636148068921376768,5973434815873270400,1512535909,1.063,0.5937,4.0001,1.0962,3.6492,1.839,-0.041,1.421,-1.838,0.923,0.1899,-0.1902,-0.117,-0.3878,0.1305,-0.3284,-0.439,-0.283,0.0974,0.0144,258,0,252,6,3.9169,367.15863,1.921,1.1084836,95,0,,0.8654,0.2289,0.174,0.291,0.046,-0.263,-0.202,30,15,1.993305,30,14,1,0.057862762,66.4424,2,0,1.18,0.10632184,0.59916085,0.36575413,0.2438076,65.2,-4.01,15.31,-19.994,0,255,102.49151,1.1076576,92.52996,20.660646,0.012053,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",348.52159555587,1.48549687594,259.60550292349,-14.6647876152,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135584757,0.701188,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.26495889399,-37.6456558578,22.880141,15.033148,0.045
"Gaia DR3 4513204587341444224",288.32246568245,16.29732321659,1636148068921376768,4513204587341444224,1648007887,0.6288,0.6963,4.0001,0.8162,4.9011,10.474,-5.918,0.838,-8.641,0.898,0.5311,-0.3272,0.3093,0.2375,-0.0814,0.2113,0.4438,-0.3203,-0.2249,0.614,253,0,252,1,0.9785,281.31235,1.518,1.5430522,95,0,,1.7841,0.1729,0.051,-0.052,0.225,-0.12,-0.148,29,16,1.581204,31,31,0,0.12344139,32.9557,0,0,1.043,0.21182854,0.43084472,0.19257446,0.42343125,-81.265,-49.923,-6.26,-41.94,0,248,121.70628,1.0120791,120.25372,20.474085,0.00944,20,29.867595519064153,3.816756,7.8253875,21.650541,0.138773,28,155.24634753314953,5.960309,26.046694,19.270342,0.041855,1.521,0,0,0,0,0,2.380199,1.176457,1.203743,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",49.89372136985,2.67291914978,292.61463680331,38.30906075593,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999999,,,,,,,,,,,,,,,,,,,,,,,,,,,1328221850,127552883224847311,0.050921,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.32249308743,16.29736162119,13.226787,14.073156,0.6146
"Gaia DR3 4064844494662533120",272.5957866012,-25.79785805927,1636148068921376768,4064844494662533120,568173880,0.8213,0.6852,4.0001,0.8278,4.8321,4.718,-4.697,1.074,-0.444,0.7,0.4371,0.1332,-0.0045,-0.0813,-0.2833,-0.0068,-0.3713,-0.0386,0.1238,0.3228,168,0,166,2,8.3437,387.83212,3.889,11.08143,95,0,,1.2765,0.1742,0.119,0.004,0.186,-0.26,-0.023,19,12,1.536248,19,7,0,0.12386183,158.05692,12,0,1.499,0.2657679,0.5641986,0.43598774,0.70017964,-66.548,-31.174,-36.789,-42.991,0,164,261.68135,2.1810248,119.98092,19.642935,0.009459,7,100.35450413179562,16.41157,6.1148634,20.3347,0.177579,9,353.2256744510463,20.444471,17.27732,18.377766,0.062955,1.733,0,1,0,1,0,1.956934,0.691765,1.265169,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",5.46832560239,-3.1913401815,272.33895811916,-2.37965046977,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999985,,,,,,,,,,,,,,,,,,,,,,,,,,,206843574,77042725958192768,0.009338,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.59580978753,-25.79785608564,17.213588,11.465894,0.3202
"Gaia DR3 4049842448734120960",274.36860008492,-28.94396566982,1636148068921376768,4049842448734120960,1726802475,1.5352,1.1797,4.0001,1.6943,2.3609,7.733,-5.151,1.643,-5.767,1.133,-0.1412,-0.191,-0.0772,0.0221,-0.0291,-0.0357,-0.3844,-0.1371,0.2082,-0.1917,113,0,110,3,12.5766,426.4289,7.057,18.03314,95,0,,1.52,0.3749,-0.092,-0.176,-0.335,0.287,-0.215,13,11,2.318302,13,6,0,0.68519026,1.5220219,26,0,1.985,0.32468015,0.35653362,0.26641107,0.7026486,-162.518,17.95,-28.918,40.732,0,107,218.1359,5.2387905,41.6386,19.84055,0.02622,3,176.28165463481773,38.883137,4.5336275,19.723024,0.239501,4,259.739676228465,46.55165,5.579602,18.71155,0.194627,1.999,0,0,0,0,1,1.011475,-0.117525,1.129,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",3.43426385336,-6.06637245959,273.84019043067,-5.56290152028,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999992,,,,,,,,,,,,,,,,,,,,,,,,,,,91534365,73262743686807659,0.106463,1,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.36862624627,-28.9439400365,26.452903,18.61553,-0.1851
"Gaia DR3 5826642969829961216",232.60049313547,-63.98644598885,1636148068921376768,5826642969829961216,1764678017,1.1276,1.1224,4.0001,1.969,2.0315,7.343,-3.73,1.042,-6.325,1.76,0.0084,-0.0978,-0.7722,0.1857,0.4353,0.0935,-0.2323,0.1878,-0.3487,-0.1601,241,0,239,2,2.1883,294.3679,2.465,2.7813592,95,0,,1.3037,0.2787,0.041,-0.133,0.169,-0.037,-0.254,28,12,2.561487,28,18,1,0.022589903,52.721313,0,0,1.102,0.40743482,0.46913224,0.4909351,0.16691369,-124.655,-81.843,21.471,5.289,0,231,80.88885,0.80947125,99.92801,20.917645,0.011209,0,,,,,,2,97.05444258575903,23.75688,4.0853195,19.780357,0.265792,,,,0,0,1,,,1.137287,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",319.31722649134,-6.29477732362,248.5258822309,-43.30949636601,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.6005309341,-63.98641787855,17.559129,28.438502,-0.1658
"Gaia DR3 5476124332223661952",156.87200078351,-20.96519707029,1636148068921376768,5476124332223661952,1092807923,0.2032,0.2068,4.0001,0.2355,16.9859,15.155,11.501,0.267,-9.869,0.292,-0.2899,-0.402,0.1577,-0.1984,0.2074,-0.2038,0.3447,-0.2275,0.1293,-0.2705,157,0,156,1,22.1671,1000.462,1.432,36.23332,31,0,1.3,,,,,,,,18,13,0.45149,22,5,0,0.07547465,164.89232,30,0,2.514,0.27362594,0.17257375,0.094164506,0.8030493,-129.366,49.98,10.973,-26.639,0,189,2534.96036,12.986953,195.19286,17.177439,0.006207,22,665.0213833929354,12.636649,52.626404,18.281454,0.020819,22,3232.136351128475,16.79905,192.39995,15.974172,0.006792,1.537,0,0,0,0,0,2.307282,1.104015,1.203267,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",263.31903653519,30.61750383584,167.25780370584,-28.30556358972,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.998258,,,,,,,,,,,,,,,,,,,,,,,,,,,374890559,82841568719992108,0.04769,1,0,40,,,,,,,90601279,0.079649,1,0,8,,,,,,,,,,,,"J102729.27-205754.6",0.011562,8,259234402,1,0,,,,,,,"S5CA005561",0.274595,8,391808894,1,0,,,,,,"10272926-2057545 ",0.01629,8,219066231,1,0,,,,,,156.87194604269,-20.96515320763,4.242738,4.610491,-0.258
"Gaia DR3 5341198827999756672",165.48802881994,-55.47082526747,1636148068921376768,5341198827999756672,514035840,0.7753,0.7565,4.0001,0.9909,4.0367,5.735,-4.975,1.17,2.853,1.142,0.0151,-0.3043,-0.0025,0.2963,0.1997,0.3482,0.1994,-0.0209,-0.3,0.4652,262,0,257,5,15.5257,823.88727,5.493,15.447557,95,0,,1.542,0.2143,-0.016,-0.054,-0.105,-0.222,0.081,30,21,1.961103,32,12,1,0.04734439,72.63889,7,0,1.766,0.22278497,0.06384864,0.18596576,0.44974914,-73.176,-58.051,-43.963,29.866,0,253,136.72728,1.1616725,117.69865,20.347729,0.009627,8,189.15105001316803,30.282705,6.2461743,19.64652,0.173847,7,360.97990090947224,29.961403,12.048164,18.354187,0.090196,4.024,0,8,0,7,0,1.292334,-0.701208,1.993542,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",287.78549142815,4.14803546592,199.78417194112,-54.32667709453,0,0,0,0,0,0,0,0,0,0,0,0.0,0.058965,0.941032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.48806782676,-55.47083794774,18.735724,18.135486,0.4414
"Gaia DR3 581386083360643840 ",131.47079303386,4.13005480965,1636148068921376768,581386083360643840,838604804,0.3853,0.2339,4.0001,0.4647,8.6086,14.684,-14.009,0.544,-4.402,0.458,-0.3305,0.0919,-0.1818,-0.0927,-0.0012,-0.0099,-0.1284,0.2676,-0.2907,-0.2858,459,0,457,2,1.1016,538.9828,1.099,1.4133224,95,0,,1.1874,0.0835,-0.015,-0.06,-0.081,-0.082,0.264,53,20,0.811396,55,17,0,0.02851339,22.290434,0,0,1.036,0.020410368,0.522292,0.06805361,0.19081612,-100.032,19.207,-51.606,-34.114,0,469,200.45465,0.6683503,299.92453,19.932327,0.004549,37,49.001140456985596,6.176634,7.933308,21.113028,0.136886,45,290.2455752999352,7.6261744,38.05913,18.59098,0.028777,1.692,0,0,0,0,0,2.522047,1.1807,1.341347,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",222.88728556612,27.25283061848,132.75875391502,-13.36772799373,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.999972,,,,,,,,,,,,,,,,,,,,,,,,,,,1050098627,112951314708206559,0.047649,1,0,40,109356882,1237658298985349784,0.035512,1,0,8,77769975,0.1344,1,0,8,,,,,,,,,,,,"J084552.98+040748.2",0.182826,8,409556115,1,0,,,,,,,"N83R005805",0.250441,8,570951062,1,0,,,,,,,,,,,,,,,,,131.47085545736,4.13007437484,8.787114,7.359268,-0.2781
"Gaia DR3 4906579954734989184",7.97129246243,-58.16445738389,1636148068921376768,4906579954734989184,829684510,0.8005,0.8348,4.0001,1.0635,3.7613,42.807,31.419,1.162,-29.073,1.197,-0.1543,0.2097,-0.0075,0.038,-0.1502,0.0235,0.2153,0.0706,-0.2155,-0.3662,255,0,254,1,1.3373,375.77167,4.114,3.4838085,95,0,,1.1067,0.2345,-0.146,-0.081,-0.066,0.087,-0.019,30,22,1.915366,32,10,0,0.03246494,123.26939,0,0,1.059,0.14484921,0.21817419,0.2147521,0.049926683,25.116,40.38,19.99,26.634,0,268,94.20462,0.79906434,117.893654,20.752186,0.009613,12,28.933713811348746,8.118975,3.5637152,21.685032,0.304677,20,128.4385147589695,9.459569,13.577629,19.476158,0.080054,1.671,0,1,0,2,0,2.208874,0.932846,1.276028,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",307.90590328801,-58.77456390089,332.59613481491,-53.95534292765,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0E-6,0.999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503056470,0.188525,1,0,8,,,,,,,,,,,,"J003153.10-580951.7",0.183923,8,64043859,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97102773229,-58.16432816832,18.607932,18.994997,-0.3718
"Gaia DR3 5933037487440696192",243.45474776844,-53.42508209002,1636148068921376768,5933037487440696192,354565488,0.4091,0.3066,4.0001,0.5723,6.9894,13.792,2.129,0.561,-13.627,0.506,-0.0805,0.2192,-0.1524,-0.3299,-0.0553,-0.3254,0.2291,-0.0442,-0.2367,-0.2428,304,0,296,8,51.2564,5750.1147,3.401,111.26197,95,0,,1.1062,0.0899,-0.115,0.257,-0.151,-0.026,0.01,35,15,0.838588,58,26,11,0.3379782,118.85501,32,60,3.76,0.4422249,0.2807455,0.4399006,0.46994603,-31.593,4.065,-21.859,-25.518,0,257,806.58994,2.4914987,323.73685,18.420734,0.00434,20,523.765531745881,8.568044,61.13012,18.540699,0.017979,19,2047.746715609065,13.946728,146.82632,16.469706,0.008305,3.188,0,20,0,19,0,2.070993,0.119965,1.951029,,,,,,,,,,,,,,,,,,,,,,,"NOT_AVAILABLE",330.35912122974,-1.69313407935,251.76984919167,-31.65290179089,0,0,0,0,0,0,0,0,0,0,0,0.0,7.84E-4,0.999187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351140226,0.660429,1,2,12,,,,,,,,,,,,,,,,,,,,,,,,"S7DY082858",0.551137,12,136224163,1,4,,,,,,"16134918-5325302 ",0.469578,12,78239968,1,2,,,,,,243.45473188623,-53.42502152587,9.040801,8.036284,-0.2156
